ID,Population_of_Origin,Sex,Exposed,Infection_load,LogZE,Infection_StatusStatus,Died,DOD,Days_Survived,Days_Survived,SVL_mm,Mass_g,Log_mass,SVL_start,Mass_start,Log_mass_start
4,Eucumbene,m,1,751343,5.875838823,Infected,1,1,10/20/2011,30,NA,2.57,0.409933123,28.2,2.75,0.439332694
137,Eucumbene,m,1,762449,5.882211369,Infected,1,1,10/18/2011,28,NA,3.08,0.488550717,29.1,3.53,0.547774705
316,Eucumbene,m,1,779339,5.891726967,Infected,1,1,10/20/2011,30,28.1,2.32,0.365487985,27,3.28,0.515873844
269,Eucumbene,m,1,804084,5.905301961,Infected,1,1,10/16/2011,26,NA,2.1,0.322219295,27.9,2.51,0.399673721
270,Eucumbene,m,1,804609,5.905585426,Infected,1,1,10/24/2011,34,NA,2.56,0.408239965,26.8,3.21,0.506505032
158,Eucumbene,f,1,860616,5.934809921,Infected,1,1,10/19/2011,29,NA,3.85,0.58546073,31.4,4.11,0.613841822
195,Eucumbene,f,1,958369,5.98153321,Infected,1,1,10/25/2011,35,NA,2.64,0.421603927,28.6,2.39,0.378397901
68,Eucumbene,f,1,1069455,6.029162921,Infected,1,1,10/20/2011,30,NA,4.44,0.64738297,32.7,5.13,0.710117365
379,Eucumbene,f,1,1149333,6.060446254,Infected,1,1,10/20/2011,30,29.4,2.76,0.440909082,31.3,4.2,0.62324929
141,Eucumbene,m,1,1410993,6.149525167,Infected,1,1,10/14/2011,24,NA,2.24,0.350248018,28.6,3.24,0.51054501
132,Eucumbene,f,1,1450679,6.161571624,Infected,1,1,10/17/2011,27,NA,5.87,0.768638101,30.3,5.92,0.772321707
202,Eucumbene,m,1,1557796,6.192510863,Infected,1,1,10/17/2011,27,NA,0.89,-0.050609993,26.2,3.02,0.480006943
177,Eucumbene,m,1,1810205,6.257728,Infected,1,1,10/18/2011,28,NA,2.83,0.451786436,29.7,3.12,0.494154594
193,Eucumbene,f,1,1988975,6.298629543,Infected,1,1,10/19/2011,29,NA,3.04,0.482873584,31.8,4.06,0.608526034
41,Eucumbene,m,1,2074758,6.316967657,Infected,1,1,10/13/2011,23,NA,2.97,0.472756449,28.6,3.64,0.561101384
332,Eucumbene,f,1,2341365,6.369469307,Infected,1,1,10/17/2011,27,NA,2.71,0.432969291,29.1,3.27,0.514547753
189,Eucumbene,f,1,2928124,6.466589613,Infected,1,1,10/17/2011,27,NA,4.55,0.658011397,31.1,4.36,0.639486489
246,Eucumbene,m,1,2961898,6.471570245,Infected,1,1,10/16/2011,26,NA,3.1,0.491361694,29.3,3.13,0.495544338
